time x y z G
1,696 -0,03713 0,21694 0,97332 0,9978944949
1,707 -0,03713 0,22281 0,97723 1,0029962143
1,715 -0,03713 0,22867 0,98113 1,0081094597
1,725 -0,03518 0,23063 0,98113 1,0084859474
1,735 -0,03518 0,22476 0,97918 1,0052602461
1,745 -0,03127 0,22476 0,98309 1,0089404435
1,755 -0,03127 0,22867 0,97918 1,0060125517
1,764 -0,03127 0,23063 0,97332 1,0007596276
1,775 -0,03127 0,22672 0,97918 1,0055711033
1,786 -0,03713 0,22672 0,97918 1,0057703852
1,796 -0,04104 0,23063 0,97918 1,0068107821
1,807 -0,03909 0,23063 0,97527 1,0029306047
1,814 -0,03909 0,22476 0,97527 1,001597054
1,825 -0,04104 0,23063 0,97332 1,0011125316
1,835 -0,043 0,22867 0,97136 0,9988389352
1,845 -0,04104 0,22281 0,97332 0,9993399822
1,855 -0,04104 0,22281 0,97723 1,0031485686
1,864 -0,04495 0,22672 0,97723 1,0041916818
1,875 -0,04104 0,22867 0,97332 1,0006628168
1,885 -0,03909 0,22867 0,97332 1,0005847387
1,895 -0,03909 0,22281 0,97527 1,0011612743
1,906 -0,03909 0,22672 0,98113 1,0077430543
1,914 -0,04104 0,22672 0,97527 1,0021166663
1,925 -0,043 0,22281 0,97136 0,997513682
1,936 -0,04104 0,22281 0,97527 1,0012393074
1,945 -0,043 0,22672 0,97527 1,0021988482
1,958 -0,04495 0,22672 0,97723 1,0041916818
1,965 -0,04104 0,22672 0,97723 1,0040242591
1,975 -0,03713 0,22672 0,98113 1,0076689299
1,986 -0,03713 0,22672 0,97918 1,0057703852
1,995 -0,03909 0,22867 0,98113 1,0081835517
2,011 -0,03713 0,22867 0,98113 1,0081094597
2,016 -0,03909 0,23063 0,98113 1,0086299132
2,028 -0,03909 0,23258 0,97136 0,9995807792
2,035 -0,043 0,23063 0,97332 1,0011947959
2,045 -0,03518 0,23063 0,96745 0,9951820596
2,055 -0,03323 0,22672 0,97136 0,9980212627
2,064 -0,03713 0,23063 0,96159 0,9895575587
2,074 -0,03518 0,22867 0,95768 0,9852302186
2,085 -0,03518 0,22672 0,95768 0,9847794541
2,095 -0,03909 0,22867 0,9655 0,9929794796
2,105 -0,03909 0,23258 0,97332 1,00148555
2,114 -0,043 0,22867 0,97136 0,9988389352
2,125 -0,04104 0,23063 0,97723 1,0049144
2,135 -0,03909 0,22672 0,97918 1,0058446495
2,145 -0,03909 0,22672 0,97918 1,0058446495
2,155 -0,03909 0,22476 0,97332 0,9996984086
2,164 -0,03909 0,22867 0,9655 0,9929794796
2,175 -0,04104 0,22672 0,97136 0,9983118198
2,185 -0,04886 0,22867 0,97723 1,0048162725
2,195 -0,05082 0,23063 0,987 1,0148605172
2,205 -0,05277 0,23063 0,99286 1,0206595169
2,214 -0,05277 0,22867 0,99872 1,0259221609
2,225 -0,04691 0,22867 0,99677 1,0237387117
2,235 -0,04691 0,22867 0,99286 1,0199321039
2,245 -0,03909 0,22672 0,987 1,013458922
2,255 -0,03909 0,23063 0,97918 1,0067331808
2,264 -0,03518 0,23649 0,96354 0,9927610408
2,275 -0,03323 0,23453 0,95377 0,9827439986
2,285 -0,02736 0,23453 0,95768 0,9863588966
2,295 -0,02932 0,23649 0,96159 0,9906778036
2,306 -0,02736 0,23844 0,95573 0,9854045038
2,314 -0,02736 0,23258 0,95573 0,9840029771
2,325 -0,02932 0,23649 0,96941 0,9982699688
2,335 -0,03323 0,23258 0,98113 1,0088675662
2,345 -0,03713 0,22672 0,99091 1,0171937983
2,356 -0,04104 0,23063 0,99482 1,0220280382
2,364 -0,04104 0,23649 1,00068 1,0290637804
2,375 -0,03713 0,23258 0,99677 1,0242180072
2,386 -0,03127 0,22672 0,98113 1,0074700235
2,396 -0,02932 0,22476 0,97332 0,999364069
2,406 -0,03127 0,22672 0,96941 0,9960599979
2,414 -0,03127 0,22867 0,97332 1,0003097541
2,425 -0,03518 0,23063 0,96941 0,9970875475
2,435 -0,03909 0,23258 0,97136 0,9995807792
2,445 -0,03518 0,23258 0,96941 0,9975403936
2,455 -0,03909 0,23063 0,97136 0,9991288579
2,464 -0,03518 0,22672 0,97332 0,9999957066
2,475 -0,03323 0,22867 0,97527 1,0022703102
2,485 -0,03518 0,23063 0,97527 1,0027858207
2,495 -0,03323 0,22867 0,97332 1,0003729426
2,505 -0,02932 0,22476 0,9655 0,9917494492
2,514 -0,02932 0,22672 0,96941 0,9960006872
2,525 -0,03127 0,23258 0,96745 0,9955052847
2,536 -0,03518 0,22672 0,96159 0,9885822773
2,545 -0,03518 0,22867 0,97332 1,0004396152
2,555 -0,03713 0,23063 0,96745 0,9952529007
2,564 -0,043 0,22672 0,95768 0,9850898136
2,575 -0,03713 0,22867 0,987 1,0138232616
2,586 -0,04495 0,23649 0,987 1,0159316033
2,596 -0,043 0,23258 0,99872 1,0263450174
2,607 -0,03518 0,22867 0,987 1,0137537183
2,614 -0,03713 0,22867 0,98309 1,0100171057
2,625 -0,03909 0,23258 0,98504 1,0128796997
2,635 -0,04495 0,23258 0,97723 1,0055309204
2,645 -0,03713 0,22867 0,97723 1,004314233
2,655 -0,03518 0,23063 0,97723 1,004692143
2,664 -0,04104 0,23063 0,97918 1,0068107821
2,675 -0,03909 0,22867 0,97527 1,0024817055
2,685 -0,03518 0,22867 0,97332 1,0004396152
2,695 -0,03323 0,23453 0,97136 0,9998243863
2,705 -0,03518 0,23063 0,97527 1,0027858207
2,714 -0,03518 0,23063 0,97918 1,0065889438
2,725 -0,03323 0,22476 0,97332 0,9994864246
2,735 -0,03518 0,22867 0,96941 0,9966360165
2,745 -0,03713 0,22867 0,97723 1,004314233
2,755 -0,03713 0,22476 0,98113 1,007229751
2,764 -0,03518 0,22672 0,98504 1,0114066405
2,775 -0,03518 0,22672 0,97918 1,005700285
2,786 -0,03713 0,22867 0,97918 1,0062117462
2,796 -0,03909 0,23258 0,97918 1,0071816901
2,807 -0,03713 0,22867 0,97332 1,000510084
2,814 -0,03909 0,22281 0,97527 1,0011612743
2,825 -0,043 0,22672 0,98309 1,0098103319
2,835 -0,043 0,23258 0,98113 1,0092366092
2,845 -0,04495 0,23649 0,97527 1,0045394942
2,855 -0,043 0,23453 0,97527 1,003994469
2,864 -0,03518 0,22867 0,97332 1,0004396152
2,875 -0,03323 0,23063 0,97136 0,998916753
2,886 -0,03518 0,22672 0,97136 0,9980880925
2,896 -0,03713 0,22672 0,96941 0,9962611823
2,906 -0,03518 0,23258 0,97136 0,9994355099
2,914 -0,03323 0,22867 0,9655 0,992766061
2,925 -0,03518 0,23258 0,96941 0,9975403936
2,935 -0,03713 0,23258 0,9655 0,9938120261
2,945 -0,03713 0,22672 0,97723 1,0038720378
2,955 -0,03518 0,22281 0,97723 1,0029259202
2,964 -0,03518 0,22085 0,97527 1,0005817947
2,975 -0,03518 0,22281 0,97527 1,0010162343
2,985 -0,03713 0,21499 0,96745 0,9917453501
2,995 -0,03909 0,21694 0,9655 0,9903440017
3,01 -0,04691 0,21694 0,96941 0,9944944745
3,016 -0,043 0,2189 0,97332 0,9985579765
3,025 -0,05082 0,22476 0,98895 1,0154416933
3,036 -0,05472 0,22672 0,99482 1,0217940444
3,044 -0,04886 0,22281 0,99091 1,0168255621
3,055 -0,043 0,2189 0,98504 1,0099851541
3,064 -0,03127 0,22476 0,98113 1,0070307579
3,074 -0,03518 0,22672 0,97723 1,003801805
3,085 -0,03713 0,23258 0,97332 1,0014109624
3,098 -0,02736 0,22672 0,96159 0,9883348907
