time;exp1_acel;exp1_gir;exp2_acel;exp2_gir;exp3_acel;exp3_gir;exp4_acel;exp4_gir;exp5_acel;exp5_gir;exp6_acel;exp6_gir;;
3.452;0,97;4,93;0,72;6,29;1,50;6,62;2,42;7,68;0,40;5,39;0,79;5,29;;
3.507;0,79;4,93;1,08;6,29;1,50;6,70;2,42;7,74;0,32;5,39;0,79;5,12;;
3.521;0,79;4,77;1,08;6,36;1,80;6,70;2,46;7,74;0,27;5,39;0,68;5,12;;
3.549;0,71;4,77;1,26;6,36;1,80;6,79;2,46;7,73;0,27;5,34;0,51;5,12;;
3.591;0,71;4,63;1,26;6,44;1,93;6,79;2,41;7,73;0,33;5,34;0,51;5,02;;
3.612;0,58;4,63;1,57;6,44;2,10;6,79;2,41;7,65;0,33;5,34;0,39;5,02;;
3.649;0,49;4,63;1,70;6,44;2,10;6,85;2,22;7,65;0,54;5,34;0,39;4,94;;
3.661;0,49;4,54;1,70;6,52;2,15;6,85;2,07;7,65;0,66;5,34;0,36;4,94;;
3.711;0,48;4,54;1,92;6,52;2,15;6,85;2,07;7,52;0,66;5,38;0,42;4,94;;
3.732;0,48;4,49;1,92;6,60;2,13;6,85;1,69;7,52;0,91;5,38;0,42;4,92;;
3.749;0,47;4,49;2,00;6,60;2,13;6,79;1,69;7,36;0,91;5,45;0,47;4,92;;
3.807;0,49;4,49;2,07;6,60;2,00;6,79;1,48;7,36;1,15;5,45;0,47;4,93;;
3.809;0,49;4,48;2,07;6,61;1,89;6,79;1,02;7,36;1,28;5,45;0,65;4,93;;
3.849;0,59;4,48;2,03;6,61;1,89;6,67;1,02;7,21;1,28;5,53;0,65;4,97;;
3.871;0,59;4,51;2,03;6,56;1,62;6,67;0,55;7,21;1,50;5,53;0,75;4,97;;
3.909;0,65;4,51;1,96;6,56;1,62;6,54;0,55;7,08;1,50;5,62;0,96;4,97;;
3.941;0,65;4,56;1,77;6,56;1,46;6,54;0,35;7,08;1,57;5,62;0,96;5,05;;
3.949;0,80;4,56;1,77;6,46;1,11;6,54;0,35;7,01;1,57;5,70;1,05;5,05;;
4.013;0,96;4,56;1,64;6,46;1,11;6,38;0,32;7,01;1,72;5,70;1,05;5,12;;
4.015;0,96;4,64;1,64;6,34;0,93;6,38;0,50;7,01;1,77;5,70;1,25;5,12;;
4.049;1,04;4,64;1,35;6,34;0,93;6,24;0,50;6,99;1,77;5,72;1,43;5,12;;
4.081;1,04;4,72;1,35;6,16;0,57;6,24;0,94;6,99;1,81;5,72;1,43;5,22;;
