time x y z G
2,24 -0,03909 0,34985 0,9655 1,0276737326
2,248 -0,03323 0,34789 0,944 1,0066119833
2,258 -0,03323 0,34007 0,9225 0,9837469633
2,268 -0,02541 0,34007 0,91077 0,9725200594
2,278 -0,01759 0,33226 0,9225 0,9806693458
2,295 -0,01368 0,33421 0,92055 0,9794364548
2,298 -0,00977 0,33226 0,91077 0,9695329563
2,312 -0,01564 0,33617 0,91664 0,9764649344
2,318 -0,02541 0,34594 0,9655 1,0259192959
2,329 -0,02541 0,34398 0,99091 1,0492237781
2,34 -0,02541 0,34985 0,99677 1,0566887543
2,348 -0,02541 0,36157 0,97332 1,0386194469
2,359 -0,01368 0,37525 0,92836 1,001424982
2,368 -0,00586 0,36548 0,92055 0,9904656847
2,384 -0,00391 0,34985 0,92836 0,9921000959
2,402 -0,00586 0,34398 0,94791 1,0084096133
2,406 -0,01173 0,33421 0,95182 1,0088583793
2,413 -0,00782 0,32639 0,9655 1,0192064729
2,418 -0,00391 0,32444 0,97136 1,0241175964
2,428 0 0,32639 0,97136 1,0247295652
2,442 -0,00782 0,34398 0,95964 1,0194568762
2,448 -0,00586 0,34789 0,95964 1,020769671
2,459 -0,00195 0,3518 0,96159 1,0239249829
2,469 -0,00586 0,35766 0,944 1,009500379
2,478 -0,0215 0,3733 0,9225 0,9954001155
2,497 -0,02541 0,37525 0,93032 1,0034707435
2,498 -0,02932 0,37135 0,93618 1,0075681006
2,508 -0,03713 0,36548 0,94791 1,0166059391
2,518 -0,04691 0,34985 0,99677 1,0574242306
2,528 -0,04886 0,34985 1,00263 1,0630377411
2,54 -0,03518 0,3518 0,98895 1,0502490061
2,548 -0,03127 0,34985 0,97918 1,0402722277
2,559 -0,03713 0,33617 0,94791 1,0064403976
2,568 -0,03323 0,32835 0,93423 0,9908095924
2,578 -0,02932 0,31662 0,93618 0,9887066699
2,595 -0,02541 0,32053 0,944 0,997256812
2,598 -0,02932 0,33812 0,94986 1,0086718081
2,611 -0,02736 0,33617 0,95964 1,0171862013
2,618 -0,02345 0,33226 0,95768 1,0139514744
2,629 -0,02541 0,33226 0,95964 1,0158500408
2,642 -0,02345 0,34985 0,94791 1,010682093
2,648 -0,0215 0,35571 0,93814 1,0035429805
2,658 -0,0215 0,35962 0,93618 1,0031060696
2,668 -0,02541 0,35766 0,95377 1,0189423716
2,678 -0,03909 0,34985 0,98113 1,0423718758
2,693 -0,043 0,34789 0,987 1,0473993756
2,698 -0,04104 0,34007 0,98895 1,0465916056
2,712 -0,03323 0,33617 0,98895 1,0450533978
2,718 -0,02541 0,32639 0,95964 1,0139452795
2,728 -0,02932 0,3303 0,94205 0,9987071417
2,74 -0,03518 0,33617 0,93423 0,9934956438
2,748 -0,04104 0,34594 0,93423 0,9970679305
2,758 -0,03323 0,34985 0,93227 0,9963064831
2,768 -0,03323 0,34985 0,95182 1,0146233625
2,778 -0,02932 0,35376 0,95377 1,0176851246
2,795 -0,02541 0,34594 0,94986 1,0112142064
2,798 -0,03127 0,3303 0,9655 1,020914371
2,811 -0,02736 0,32444 0,97136 1,0244755404
2,818 -0,02736 0,31662 0,97918 1,0294611534
2,828 -0,02736 0,31662 0,97918 1,0294611534
2,84 -0,0215 0,32835 0,98113 1,0348391418
2,848 -0,02345 0,32639 0,97136 1,0249978459
2,858 -0,02736 0,33617 0,96745 1,0245576319
2,868 -0,02736 0,33812 0,9655 1,023359152
2,878 -0,03127 0,34007 0,95573 1,0149114497
2,891 -0,03127 0,34007 0,94791 1,007550885
2,898 -0,02345 0,33617 0,94791 1,0060285978
2,908 -0,0215 0,33226 0,944 1,0009969818
2,919 -0,01954 0,34203 0,944 1,0042421683
2,931 -0,02736 0,34985 0,96159 1,0236204962
2,949 -0,03518 0,35376 0,9655 1,0288702639
2,951 -0,03518 0,35962 0,95964 1,025413627
2,962 -0,03518 0,35376 0,93814 1,0032399661
2,968 -0,03127 0,34985 0,93814 1,0017382368
2,978 -0,02736 0,34398 0,94791 1,0087636879
2,989 -0,03127 0,34203 0,96159 1,0210865105
2,998 -0,02345 0,34594 0,97332 1,0332357952
3,008 -0,02541 0,34594 0,99286 1,0517086723
3,018 -0,02541 0,34789 1,0085 1,0671201292
3,039 -0,02736 0,34789 0,99677 1,0560901735
3,042 -0,0215 0,34789 0,94205 1,0044639887
3,048 -0,02541 0,34398 0,93423 0,9958682651
3,059 -0,02541 0,33617 0,93227 0,9913542706
3,068 -0,02541 0,33421 0,93227 0,990691347
3,079 -0,02541 0,33226 0,93227 0,9900352158
3,09 -0,02345 0,3303 0,944 1,0003919194
3,098 -0,02541 0,3303 0,95768 1,0133581502
3,108 -0,02932 0,33617 0,97527 1,0319987908
3,118 -0,04104 0,34594 0,98309 1,0429883572
3,13 -0,04104 0,34985 0,97723 1,0387770584
3,139 -0,03127 0,35376 0,95964 1,0232462461
3,149 -0,02932 0,35766 0,94986 1,0153887717
3,159 -0,01954 0,3518 0,93814 1,0021236008
3,168 -0,01759 0,34594 0,94009 1,0018747925
